,Spectrum,Date,Time,"NO (350,3000) 191C","NO (350,3000) 191C average","NO (350,3000) 191C stdev",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"N2O (100,200,300) 191C (1of2)","N2O (100,200,300) 191C (1of2) average","N2O (100,200,300) 191C (1of2) stdev",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"Formaldehyde (70,500) 191C","Formaldehyde (70,500) 191C average","Formaldehyde (70,500) 191C stdev",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"Propylene (200,1000) 191C","Propylene (200,1000) 191C average","Propylene (200,1000) 191C stdev",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"Ethylene (100,3000) 191C","Ethylene (100,3000) 191C average","Ethylene (100,3000) 191C stdev",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
0,TESTANMA_7167.LAB,6/3/2020,15:15:58.000,414.389673,349.319855,36.425419,31.488881,25.692606,3.246820,34.435046,27.166016,4.251823,1.032436,0.754723,0.184050,0.142788,0.293097,0.133580,-0.276640,-0.153914,1.550032,-9.104179,-0.532034,4.878640,2.921311,3.543116,0.348377,2.749269,1.648617,0.707461,4.038215,3.596841,0.247598,4.048471,3.676918,0.209108,180.356247,196.924225,9.344750,0.018711,0.019704,0.000592,0.397361,0.272505,0.518722,20.785723,19.651806,0.830268,2.358387,3.749039,0.901603,4.483766,4.552136,0.147082,2.929440,5.687784,1.576554,0.838808,0.343750,0.300982,2.036296,1.490168,0.797174,3.656714,3.177314,0.538441,1.578421,-2.476548,2.292613,0.029476,0.024368,0.009625,0.337017,-0.239577,0.383884,0.311428,-0.034392,0.200267,-0.903263,-0.314113,0.852287,190.435486,190.451538,0.035887,0.972372,0.971195,0.001097,31.488881,25.692606,3.246820,180.356247,196.924225,9.344750,4.483766,4.552136,0.147082,0.142788,0.293097,0.133580,449.535268,378.189758,39.921284,185.783562,204.187515,10.366375,4.159832,3.728330,0.242139,426.859568,362.046783,36.283703,32.436450,26.627050,3.254997,463.062771,391.967346,39.783985,45.171008,43.701000,3.914510,40.238866,38.693649,4.055115,38.561250,38.006153,3.973540,1.032436,0.754723,0.184050,4.038310,3.596902,0.247616,43.117504,39.888012,3.788572,41.439889,39.200512,3.568537,3.626546,3.642401,0.008895,5.153291,5.157857,0.027071,90.386093,89.618896,0.428878,6.278428,6.272889,0.003097,-3.839561,-3.843077,0.001966,0.000000,0.000000,0.000000,563.163208,563.148743,0.011447,0.002075,0.002803,0.000453,NaN,NaN,NaN,1.333502,1.337892,0.002996
1,TESTANMA_7167.LAB,6/3/2020,15:15:58.200,413.114985,365.963043,43.631744,31.433751,27.107121,3.979671,31.896968,28.096134,4.752943,0.877201,0.819457,0.149221,0.036338,0.224614,0.163182,-1.042249,-0.533957,1.470840,-6.276208,-1.872542,5.438216,3.268115,3.454441,0.351222,2.286209,1.931112,0.593521,4.067550,3.719823,0.304291,4.214459,3.804085,0.305506,191.084506,195.351120,9.577609,0.019321,0.019622,0.000616,1.057687,0.275974,0.525160,22.151997,20.158649,1.389490,2.761159,3.437181,0.923941,4.426979,4.556132,0.142350,0.038766,4.505157,2.949182,0.463289,0.373670,0.304660,1.555478,1.303315,0.585768,2.889822,3.097490,0.547267,1.034987,-1.456677,2.531468,0.034361,0.029295,0.005802,-0.060317,-0.115060,0.294764,0.257027,0.039790,0.229956,-0.974746,-0.701748,0.489535,190.435486,190.451538,0.035887,0.966798,0.970273,0.002228,31.433751,27.107121,3.979671,191.084506,195.351120,9.577609,4.426979,4.556132,0.142350,0.036338,0.224614,0.163182,447.438558,396.167664,47.770744,197.595647,202.382690,10.619522,4.220871,3.855342,0.306655,427.073196,378.938141,43.847305,32.496029,28.066212,4.022081,462.553015,410.211365,48.019257,47.695206,43.418388,3.449973,42.825529,38.406639,3.586284,41.898951,37.659302,3.392813,0.877201,0.819457,0.149221,4.082652,3.722889,0.308647,45.121026,40.126274,4.128506,44.194448,39.378929,3.837087,3.626987,3.638310,0.010547,5.150310,5.148284,0.015038,90.386093,89.810692,0.525266,6.278428,6.274274,0.003793,-3.839561,-3.842198,0.002408,0.000000,0.000000,0.000000,563.155267,563.148437,0.011197,0.002161,0.002626,0.000504,NaN,NaN,NaN,1.334718,1.336548,0.002468
2,TESTANMA_7167.LAB,6/3/2020,15:15:58.400,411.812186,381.630615,43.110821,31.377407,28.490637,4.031369,29.302919,28.939503,4.449760,0.718542,0.816112,0.151747,-0.072459,0.164698,0.210244,-1.824740,-1.272078,0.677560,-3.385873,-3.148811,4.710230,3.622567,3.432904,0.332906,1.812937,2.036054,0.488536,4.097531,3.840338,0.312189,4.384108,3.955934,0.374951,202.049353,195.436203,9.648887,0.019944,0.019636,0.000623,1.732574,0.575417,0.832898,23.548400,20.970341,1.966707,3.172813,3.128819,0.586786,4.368940,4.535602,0.163432,-2.915655,2.677935,4.189964,0.079489,0.377003,0.300472,1.064056,1.229267,0.588466,2.106018,2.777004,0.568815,0.479569,-0.727567,2.439398,0.039355,0.032518,0.006067,-0.466414,-0.175579,0.335523,0.201427,0.116695,0.198994,-1.047806,-0.932214,0.201671,190.435486,190.451538,0.035887,0.961100,0.968212,0.004513,31.377407,28.490637,4.031369,202.049353,195.436203,9.648887,4.368940,4.535602,0.163432,-0.072459,0.164698,0.210244,445.295611,412.898285,47.302696,209.668220,202.429062,10.658460,4.283257,3.985902,0.325368,427.291534,395.117279,43.762264,32.556921,29.496082,4.110479,462.032018,427.486664,48.016880,50.275069,44.588066,4.657413,45.469235,39.598900,4.821972,45.310257,38.844898,4.862741,0.718542,0.816112,0.151747,4.127971,3.849475,0.321368,47.168730,41.483559,5.208114,47.009752,40.729553,5.177622,3.627437,3.634462,0.010236,5.147264,5.144403,0.011093,90.386093,90.002502,0.525266,6.278428,6.275659,0.003793,-3.839561,-3.841319,0.002408,0.000000,0.000000,0.000000,563.147150,563.148193,0.011210,0.002249,0.002457,0.000447,NaN,NaN,NaN,1.335960,1.335788,0.001698
3,TESTANMA_7168.LAB,6/3/2020,15:15:58.600,411.019120,396.825134,35.261322,31.063076,29.854776,3.326908,34.602506,31.112299,3.892799,0.645494,0.782146,0.169890,0.269906,0.170897,0.213412,-4.747113,-1.972073,1.692751,0.439184,-3.347541,4.484134,3.709941,3.439510,0.339225,1.521681,2.041743,0.480737,4.122134,3.963108,0.266287,4.233521,4.088814,0.316818,207.257636,196.460175,10.747051,0.019817,0.019616,0.000614,-1.278491,0.305216,1.182571,21.288932,21.533295,1.392639,3.229348,3.008508,0.453345,3.584321,4.297750,0.409962,2.072846,1.792343,3.607410,-0.794244,0.188068,0.613012,1.206808,1.270270,0.575656,4.343187,3.111748,0.890968,-0.339059,-0.132199,1.967346,0.021386,0.029656,0.007418,0.129644,-0.106478,0.359849,0.267976,0.178456,0.185334,-0.775518,-0.861193,0.175109,190.435486,190.451538,0.035887,0.959519,0.965834,0.005444,31.063076,29.854776,3.326908,207.257636,196.460175,10.747051,3.584321,4.297750,0.409962,0.269906,0.170897,0.213412,446.425383,429.791656,38.898823,215.242915,203.506866,11.807512,4.292060,4.115868,0.280458,426.855219,410.921082,35.998432,32.259915,30.914494,3.406969,463.625533,445.056641,39.720707,36.482724,43.808285,5.738641,32.539970,39.080761,5.511960,34.128459,38.704628,5.015240,0.645494,0.782146,0.169890,4.132827,3.974380,0.273403,34.107710,41.033009,5.823228,35.696198,40.656872,5.261438,3.627562,3.630841,0.008301,5.146418,5.148641,0.003108,90.386093,90.194298,0.428878,6.278428,6.277043,0.003097,-3.839561,-3.840440,0.001966,0.000000,0.000000,0.000000,563.144897,563.149536,0.010026,0.002273,0.002281,0.000220,305.488831,NaN,NaN,1.336305,1.335540,0.001449
4,TESTANMA_7169.LAB,6/3/2020,15:15:58.800,409.880739,412.043365,1.763024,30.714396,31.215504,0.325163,29.226523,31.892792,2.627834,0.468230,0.748381,0.216358,0.289852,0.133285,0.154109,-3.508780,-2.279904,1.826834,-4.795431,-4.624502,3.535533,3.742848,3.452956,0.352015,0.486741,1.771367,0.856693,4.124620,4.090010,0.036991,4.238369,4.223786,0.119198,203.897669,196.929077,11.071080,0.020255,0.019610,0.000605,-0.884934,0.204840,1.273407,19.788562,21.512722,1.423376,3.593038,3.022949,0.474405,4.241307,4.221063,0.367128,7.640670,1.953213,3.895045,-0.089209,0.099627,0.615164,-0.440245,1.084478,0.931123,3.998152,3.398778,0.901104,-0.447792,0.461225,0.872415,0.007944,0.026504,0.012312,0.620427,0.112071,0.410396,0.124317,0.232435,0.072040,0.331249,-0.674017,0.570870,190.435486,190.435486,0.000000,0.959519,0.963862,0.005621,30.714396,31.215504,0.325163,203.897669,196.929077,11.071080,4.241307,4.221063,0.367128,0.289852,0.133285,0.154109,444.593286,446.657654,1.940439,211.825802,204.023224,12.171962,4.288998,4.249003,0.057814,425.818441,426.779602,0.566610,31.908680,32.331596,0.261152,461.880672,462.630798,0.725147,34.449702,42.814743,6.983834,29.784264,38.171577,6.731470,29.962683,37.972321,6.093853,0.468230,0.748381,0.216358,4.128467,4.102046,0.041098,31.418412,40.186676,6.991477,31.596830,39.987423,6.283678,3.626760,3.627059,0.000434,5.156243,5.150706,0.004115,90.386093,90.386093,0.000000,6.278428,6.278428,0.000000,-3.839561,-3.839561,0.000000,0.000000,0.000000,0.000000,563.147204,563.151489,0.007618,0.004550,0.002661,0.001059,291.487188,NaN,NaN,1.336412,1.335379,0.001247
5,TESTANMA_7171.LAB,6/3/2020,15:15:59.000,412.065207,411.578461,1.209090,31.194809,31.156689,0.287802,29.011336,30.808050,2.427883,0.501646,0.642222,0.166647,0.355608,0.175849,0.183900,-4.621446,-3.148865,1.661593,-2.790398,-3.361745,2.516129,3.715848,3.611864,0.197400,0.648188,1.351151,0.767792,4.083749,4.099116,0.024573,4.205958,4.255283,0.073238,205.061415,201.870117,6.318272,0.019701,0.019807,0.000342,0.215077,0.168383,1.269119,20.404653,21.436510,1.481067,3.436953,3.238662,0.315172,4.383404,4.200990,0.351589,4.458757,2.259077,4.047915,0.478391,0.027543,0.520769,0.682014,0.813622,0.767653,3.650819,3.397599,0.900686,-1.615646,-0.177588,1.008624,0.023302,0.025270,0.012249,-0.217786,0.001111,0.409372,0.064058,0.182961,0.087509,1.041039,-0.285156,0.926873,190.435486,190.435486,0.000000,0.959519,0.961291,0.003153,31.194809,31.156689,0.287802,205.061415,201.870117,6.318272,4.383404,4.200990,0.351589,0.355608,0.175849,0.183900,446.910834,446.132721,1.169071,212.974721,209.461456,6.931788,4.244792,4.265996,0.031592,427.967115,427.001129,0.781448,32.398528,32.324013,0.257876,464.157421,462.849762,1.000955,42.104822,42.201508,6.858707,37.283078,37.580414,6.633610,36.326296,37.525330,6.121758,0.501646,0.642222,0.166647,4.087048,4.111793,0.024717,37.880690,39.139313,6.833117,36.923908,39.084225,6.346950,3.625998,3.626949,0.000623,5.156458,5.151339,0.004799,90.386093,90.386093,0.000000,6.278428,6.278428,0.000000,-3.839561,-3.839561,0.000000,0.000000,0.000000,0.000000,563.147369,563.148437,0.003988,0.003732,0.002993,0.001088,278.543793,NaN,NaN,1.335951,1.335869,0.000675
6,TESTANMA_7172.LAB,6/3/2020,15:15:59.200,409.750786,410.905609,1.068110,31.293689,31.128674,0.259519,30.419382,30.512533,2.350911,0.749735,0.616729,0.126669,0.290510,0.226683,0.170323,1.783863,-2.583643,2.708328,-3.087803,-2.724064,1.928173,3.754931,3.709227,0.051898,0.219154,0.937740,0.691115,4.010188,4.087644,0.046554,4.178784,4.248147,0.079665,203.766203,204.406448,1.922427,0.020909,0.020125,0.000485,0.563170,0.069479,1.199869,17.925754,20.591263,2.062492,3.499956,3.386422,0.179189,4.347541,4.185103,0.340442,0.772853,2.405894,3.959601,0.025607,-0.059993,0.462768,1.610896,0.824706,0.781321,1.943269,3.208289,1.109390,-0.167804,-0.418146,0.759886,0.052708,0.028939,0.017343,0.151174,0.043409,0.412354,-0.344253,0.062705,0.240205,0.717486,0.053290,0.921059,190.435486,190.435486,0.000000,0.959519,0.959836,0.000707,31.293689,31.128674,0.259519,203.766203,204.406448,1.922427,4.347541,4.185103,0.340442,0.290510,0.226683,0.170323,442.987744,445.242584,1.556503,211.715870,212.285492,2.037606,4.170813,4.255984,0.051270,425.736970,426.733887,0.958955,32.514596,32.327728,0.261085,460.270556,462.393219,1.543514,41.154378,40.893337,6.134466,36.372083,36.289726,5.950601,36.320869,36.409718,5.612550,0.749735,0.616729,0.126669,4.014206,4.098104,0.050450,36.188271,37.352764,5.994475,36.137057,37.472748,5.716691,3.625312,3.626614,0.000958,5.154902,5.152257,0.004989,90.386093,90.386093,0.000000,6.278428,6.278428,0.000000,-3.839561,-3.839561,0.000000,0.000000,0.000000,0.000000,563.147123,563.146667,0.001038,0.002726,0.003106,0.001006,267.944243,NaN,NaN,1.335958,1.336117,0.000223
7,TESTANMA_7173.LAB,6/3/2020,15:15:59.400,408.040541,410.151276,1.508740,31.188548,31.090902,0.225824,33.324063,31.316761,2.515688,0.671028,0.607226,0.118650,-0.041125,0.232950,0.156588,-2.306357,-2.679966,2.683036,-2.351485,-2.517187,1.894613,3.712464,3.727206,0.020358,1.936869,0.962527,0.731399,4.094050,4.086948,0.046395,4.093536,4.190033,0.058990,204.882497,204.973068,1.400734,0.019596,0.020056,0.000539,-1.093471,-0.495730,0.828855,19.879300,19.857441,1.233414,3.016970,3.355253,0.231540,5.172670,4.345849,0.564779,8.098847,4.608794,3.261163,-1.805396,-0.436970,0.890651,0.255749,0.663045,0.802745,3.165234,3.420132,0.933468,2.096587,-0.094743,1.351365,0.008154,0.022699,0.018248,0.954296,0.327551,0.459960,-0.349681,-0.047516,0.283226,-0.044564,0.253939,0.705207,190.492037,190.446808,0.025290,0.961930,0.960001,0.001078,31.188548,31.090902,0.225824,204.882497,204.973068,1.400734,5.172670,4.345849,0.564779,-0.041125,0.232950,0.156588,442.394324,444.662292,2.007301,212.782215,212.908295,1.419899,4.251915,4.249715,0.048967,423.773142,426.030182,1.553820,32.391053,32.294556,0.233794,459.451583,461.877136,2.044562,32.145848,37.267494,4.280615,26.455911,32.487064,4.521555,30.066703,33.361000,3.183700,0.671028,0.607226,0.118650,4.094064,4.091322,0.047632,29.032771,33.725574,3.564453,32.643563,34.599510,2.335135,3.625662,3.626259,0.000904,5.151579,5.153120,0.004224,90.386093,90.386093,0.000000,6.278428,6.278428,0.000000,-3.839561,-3.839561,0.000000,0.000000,0.000000,0.000000,563.146379,563.146606,0.001016,0.003376,0.003331,0.000885,286.056799,285.904144,14.066684,1.338866,1.336698,0.001229
8,TESTANMA_7174.LAB,6/3/2020,15:15:59.600,407.556015,409.458679,1.781070,31.136154,31.105518,0.225937,30.895826,30.575428,1.728289,0.655004,0.609128,0.119490,-0.032839,0.172401,0.193019,-0.247449,-1.780034,2.568530,-2.894906,-3.184005,0.940418,3.676626,3.720544,0.030397,1.705886,0.999368,0.770215,4.034548,4.069431,0.046323,4.119283,4.167186,0.060049,202.478165,204.017197,1.035016,0.020391,0.020170,0.000536,0.924033,-0.055225,0.891739,19.786280,19.556910,0.947305,4.061934,3.521770,0.373948,4.829229,4.594831,0.393597,3.431187,4.880463,3.046614,-0.958205,-0.469762,0.909904,0.925084,0.606700,0.763988,1.612516,2.873998,1.049950,2.462806,0.465630,1.747571,0.014102,0.021242,0.018665,0.887718,0.479166,0.501482,0.033987,-0.094314,0.232929,-0.824728,0.244096,0.723278,190.638992,190.487488,0.088157,0.968195,0.961737,0.003758,31.136154,31.105518,0.225937,202.478165,204.017197,1.035016,4.829229,4.594831,0.393597,-0.032839,0.172401,0.193019,440.304684,443.438171,2.475121,210.206469,211.901031,1.100088,4.189886,4.229281,0.048191,423.111808,425.281494,1.916437,32.324636,32.307499,0.233188,457.110562,460.574127,2.640811,42.678592,38.506664,4.854921,37.366440,33.452354,5.023057,39.282849,34.391880,4.174611,0.655004,0.609128,0.119490,4.035823,4.071922,0.046235,40.168796,34.937786,4.605515,42.085205,35.877312,4.137645,3.626832,3.626113,0.000670,5.155029,5.154842,0.001953,90.386093,90.386093,0.000000,6.278428,6.278428,0.000000,-3.839561,-3.839561,0.000000,0.000000,0.000000,0.000000,563.147217,563.147034,0.000392,0.003884,0.003654,0.000671,319.137756,288.633942,19.203777,1.337829,1.337003,0.001294
9,TESTANMA_7175.LAB,6/3/2020,15:15:59.800,408.675122,409.217529,1.791223,30.858210,31.134283,0.164498,30.444696,30.819061,1.569131,0.712741,0.658031,0.094917,0.075484,0.129528,0.184006,1.532422,-0.771793,2.706032,-3.561943,-2.937307,0.441415,3.670818,3.706137,0.034035,1.207204,1.143460,0.715807,3.986320,4.041771,0.046421,4.113216,4.142156,0.047793,203.685423,203.974747,1.045443,0.020461,0.020212,0.000552,0.645676,0.250897,0.792951,20.859381,19.771074,1.118367,3.561488,3.515460,0.372709,4.900906,4.726750,0.354035,2.410425,3.834414,2.744936,0.417689,-0.368383,0.987808,1.000362,0.894821,0.494600,1.763232,2.427014,0.919333,-2.076909,0.139807,2.080588,0.013425,0.022338,0.017831,0.551174,0.465315,0.497546,0.273647,-0.064448,0.273934,0.628861,0.303619,0.744187,190.638992,190.528198,0.103742,0.968195,0.963472,0.004423,30.858210,31.134283,0.164498,203.685423,203.974747,1.045443,4.900906,4.726750,0.354035,0.075484,0.129528,0.184006,441.296564,442.778809,2.529000,211.447252,211.825287,1.119414,4.140210,4.199523,0.048035,424.247915,424.967377,1.935043,32.034080,32.332581,0.180321,458.112586,459.820557,2.711466,45.394413,40.695610,5.032538,40.003417,35.496185,5.232106,39.168039,36.232952,3.740176,0.712741,0.658031,0.094917,3.988214,4.043871,0.045897,42.088298,37.071766,5.020398,41.252920,37.808529,3.886098,3.626890,3.626139,0.000703,5.147523,5.153098,0.003594,90.386093,90.386093,0.000000,6.278428,6.278428,0.000000,-3.839561,-3.839561,0.000000,0.000000,0.000000,0.000000,563.145039,563.146606,0.000965,0.003446,0.003433,0.000446,313.387462,293.014008,22.269993,1.336780,1.337077,0.001262
