,Spectrum,Date,Time,"""NO (350,3000) 191C""","""NO (350,3000) 191C average""","""NO (350,3000) 191C stdev""",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"""N2O (100,200,300) 191C (1of2)""","""N2O (100,200,300) 191C (1of2) average""","""N2O (100,200,300) 191C (1of2) stdev""",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"""Formaldehyde (70,500) 191C""","""Formaldehyde (70,500) 191C average""","""Formaldehyde (70,500) 191C stdev""",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"""Propylene (200,1000) 191C""","""Propylene (200,1000) 191C average""","""Propylene (200,1000) 191C stdev""",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"""Ethylene (100,3000) 191C""","""Ethylene (100,3000) 191C average""","""Ethylene (100,3000) 191C stdev""",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
0,TESTANMA_4168.LAB,6/3/2020,05:43.0,750.140972,726.784851,13.988355,26.897157,28.590216,0.982156,29.750505,30.2812,1.629898,0.430545,0.571935,0.104298,-0.003795,0.122397,0.085643,1.589405,1.625387,1.569895,-1.909244,0.153575,1.458435,3.170835,3.797003,0.350638,1.706356,1.649849,0.291815,8.092256,7.948503,0.08935,8.472811,8.325801,0.113242,131.060563,154.5914,13.22099,0.014922,0.015203,0.000333,-1.881398,0.398145,1.276349,13.346085,13.753691,1.282497,2.645892,2.206123,0.274883,1.70871,1.311715,0.305974,10.002975,2.246062,4.789121,-2.221654,-0.905027,0.858282,-0.577035,0.518649,0.764549,2.320915,3.256126,1.103486,-4.965272,-4.016637,3.059074,0.037781,0.026029,0.010852,0.757951,0.20165,0.429317,0.260606,0.161418,0.130427,-0.753276,-0.757503,0.571284,190.740738,190.740738,0,0.976549,0.97189,0.006292,26.897157,28.590216,0.982156,131.060563,154.5914,13.22099,1.70871,1.311715,0.305974,-0.003795,0.122397,0.085643,779.359044,758.631226,12.694726,135.352363,160.73378,14.254219,8.750267,8.654262,0.09794,774.705607,755.437622,11.964115,27.77795,29.72179,1.120073,804.880474,788.545105,10.584204,13.733815,24.771421,6.420099,11.854234,23.328533,6.615321,16.297542,25.138588,5.008157,0.430545,0.571935,0.104298,8.472811,8.325801,0.113242,14.792341,25.414326,6.127217,19.235649,27.224377,4.517496,3.483192,3.489737,0.003685,5.247284,5.247066,0.012592,89.267258,90.034462,0.428881,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.233643,563.248596,0.009028,0.002968,0.001773,0.000726,NaN,NaN,NaN,1.345587,1.346247,0.001756
1,TESTANMA_4168.LAB,6/3/2020,05:43.2,752.655293,733.419556,17.164972,27.228786,28.239849,1.111958,30.640538,30.64954,1.403536,0.425281,0.532442,0.116875,0.041294,0.096926,0.087369,-0.189566,1.2456,1.762391,-2.227925,-0.525989,1.646035,3.563392,3.725082,0.355184,1.510841,1.655197,0.28824,8.228882,8.006887,0.152782,8.595923,8.399782,0.147426,141.20676,150.650299,13.79051,0.015164,0.015133,0.000285,-1.311217,-0.055834,1.422454,12.719364,13.235011,0.98402,2.748122,2.363158,0.321547,1.703589,1.359212,0.351044,4.756174,2.710238,4.922658,-1.321376,-1.046772,0.856446,-0.422583,0.41823,0.863249,4.710548,3.163931,0.904825,-5.402602,-5.002852,2.341031,0.040958,0.028985,0.012749,-0.007609,0.086786,0.381381,0.096867,0.179637,0.107618,-0.700741,-0.558842,0.241993,190.740738,190.740738,0,0.969519,0.970612,0.00591,27.228786,28.239849,1.111958,141.20676,150.650299,13.79051,1.703589,1.359212,0.351044,0.041294,0.096926,0.087369,784.594627,764.823364,16.59849,146.478502,156.53299,14.850635,8.914345,8.724751,0.134757,780.494496,761.764771,15.467442,28.237138,29.336405,1.253419,813.628388,794.389771,14.910852,16.8726,22.603481,6.98415,14.998653,21.108347,7.282032,17.641405,23.201889,5.766289,0.425281,0.532442,0.116875,8.595923,8.399782,0.147426,16.845915,23.090618,6.842649,19.488667,25.184158,5.352143,3.483825,3.488361,0.00444,5.246766,5.250842,0.006985,89.267258,89.842667,0.52527,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.240709,563.247253,0.009713,0.002246,0.001946,0.000712,NaN,NaN,NaN,1.3465,1.346695,0.001365
2,TESTANMA_4168.LAB,6/3/2020,05:43.4,755.169967,741.56366,15.492997,27.560462,28.017237,1.114846,31.530696,30.546244,1.289316,0.420017,0.475595,0.073488,0.08639,0.071916,0.060007,-1.968787,0.359777,2.08311,-2.54665,-1.398127,1.187638,3.956004,3.723291,0.353692,1.315298,1.649523,0.296078,8.365526,8.110418,0.189151,8.719054,8.503897,0.153419,151.354383,149.194412,13.104136,0.015405,0.015097,0.000217,-0.740955,-0.38268,1.334911,12.092554,12.672589,0.449736,2.850365,2.480479,0.378233,1.698466,1.436064,0.379626,-0.491365,2.271277,5.128437,-0.420971,-1.138624,0.725617,-0.26811,0.22209,0.890626,7.100518,3.985502,1.960059,-5.839993,-5.782262,1.598601,0.044134,0.031329,0.014495,-0.773276,-0.044419,0.546308,-0.066895,0.154918,0.149111,-0.648199,-0.568198,0.244937,190.740738,190.740738,0,0.962487,0.967929,0.005952,27.560462,28.017237,1.114846,151.354383,149.194412,13.104136,1.698466,1.436064,0.379626,0.08639,0.071916,0.060007,789.830946,773.566406,15.773696,157.606206,155.017731,14.115802,9.078447,8.833046,0.16112,786.284201,770.232727,14.849878,28.69639,29.104206,1.240247,822.377532,803.481934,15.443421,20.011827,20.565704,5.553144,18.143514,18.986034,5.914148,18.985457,21.263283,5.049616,0.420017,0.475595,0.073488,8.719054,8.503897,0.153419,18.899778,20.847868,5.709196,19.741721,23.125118,4.986334,3.484458,3.486999,0.004368,5.246247,5.249077,0.006761,89.267258,89.650864,0.52527,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.247777,563.245972,0.008892,0.001523,0.001883,0.000738,NaN,NaN,NaN,1.347413,1.34661,0.001287
3,TESTANMA_4169.LAB,6/3/2020,05:43.6,746.462273,746.57489,10.63279,27.438561,27.707233,0.985185,30.527749,30.254679,1.018942,0.361005,0.430427,0.055125,0.106728,0.077823,0.062075,1.683828,0.8784,2.009672,-8.149525,-3.071428,2.941728,4.015336,3.730794,0.360769,1.217401,1.470517,0.20179,8.159718,8.159016,0.155097,8.675599,8.563367,0.150135,151.940215,147.570648,11.865822,0.014859,0.015041,0.000239,-0.169061,-0.633776,1.083983,10.860332,12.312338,0.927941,2.777617,2.636977,0.275003,1.701714,1.541293,0.361874,-4.669689,1.351472,5.993028,0.065009,-1.021191,0.881168,-0.36056,-0.075045,0.750906,3.037285,4.018123,1.938174,-0.980588,-5.126571,2.683669,0.02037,0.030445,0.015115,0.536766,0.067793,0.605851,0.190549,0.158787,0.149888,0.573728,-0.334253,0.563371,190.740738,190.740738,0,0.961126,0.966354,0.006603,27.438561,27.707233,0.985185,151.940215,147.570648,11.865822,1.701714,1.541293,0.361874,0.106728,0.077823,0.062075,776.93812,778.300293,10.983568,158.296425,153.339233,12.820591,9.03853,8.895683,0.169444,777.68963,775.512939,10.480948,28.586412,28.783621,1.087379,809.440641,808.47583,11.218278,20.593657,19.29858,4.32514,18.721772,17.603159,4.642001,18.591753,19.64554,4.083511,0.361005,0.430427,0.055125,8.675599,8.563367,0.150135,21.063114,19.498905,4.268638,20.933096,21.541286,3.837855,3.485234,3.485714,0.003518,5.261255,5.249133,0.006883,89.267258,89.459068,0.428881,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.2525,563.245178,0.007917,0.002095,0.001981,0.000724,415.201215,NaN,NaN,1.347546,1.346452,0.001049
4,TESTANMA_4170.LAB,6/3/2020,05:43.8,740.452341,748.976196,5.749596,27.064805,27.237955,0.269472,27.606778,30.011251,1.485005,0.695262,0.466422,0.130971,0.154703,0.077064,0.060853,4.016868,1.026349,2.243981,6.001543,-1.76636,5.047956,4.089082,3.758929,0.386547,2.066738,1.563327,0.338311,7.925273,8.154331,0.16318,8.675313,8.62774,0.097349,156.333706,146.37912,10.200299,0.015047,0.015079,0.000217,2.123697,-0.395787,1.546237,10.796369,11.962941,1.126799,1.399396,2.484278,0.610895,1.060999,1.574696,0.287189,-0.111255,1.897368,5.628954,0.09195,-0.761408,0.996615,0.569658,-0.211726,0.451055,4.191388,4.27213,1.839197,-1.794289,-3.796549,2.239401,0.014844,0.031617,0.013132,-0.262593,0.050248,0.615823,-0.283224,0.039581,0.218211,1.591768,0.012656,1.041719,190.740738,190.740738,0,0.961126,0.966161,0.006771,27.064805,27.237955,0.269472,156.333706,146.37912,10.200299,1.060999,1.574696,0.287189,0.154703,0.077064,0.060853,771.708534,780.486206,6.984078,162.998898,152.146484,11.175577,9.045178,8.965353,0.135444,772.02089,778.238953,5.505993,28.218689,28.303314,0.361318,804.609681,810.987366,7.366675,26.004665,19.443314,4.579978,24.837565,17.711147,4.838781,24.653665,19.233963,3.201803,0.695262,0.466422,0.130971,8.675313,8.62774,0.097349,26.589117,19.638054,4.532386,26.405216,21.16087,3.002989,3.485437,3.48443,0.000943,5.265941,5.253498,0.009374,89.267258,89.267258,0,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.25354,563.245605,0.008401,0.002316,0.00223,0.000517,398.453491,NaN,NaN,1.347533,1.346916,0.000861
5,TESTANMA_4172.LAB,6/3/2020,05:44.0,745.713706,748.090698,5.865113,27.070778,27.272678,0.221493,30.452728,30.151697,1.487385,0.476236,0.47556,0.129427,0.050753,0.087974,0.045748,3.486711,1.405811,2.507897,2.071257,-0.97026,5.326007,4.036889,3.932141,0.211583,2.385891,1.699234,0.505376,8.150797,8.16604,0.159675,8.63762,8.660701,0.046285,155.09965,151.186951,5.958148,0.014825,0.01506,0.000237,0.793704,0.139234,1.354622,11.76448,11.64662,0.822299,1.602486,2.275597,0.711771,1.234692,1.479892,0.309279,0.187382,-0.06575,3.342697,-0.114282,-0.339934,0.585495,0.022105,-0.091898,0.407197,4.558713,4.71969,1.483571,-1.84621,-3.172736,2.266708,0.017823,0.027626,0.013806,-0.090581,-0.119459,0.472213,-0.028345,-0.01821,0.17995,0.038136,0.170938,0.952555,190.740738,190.740738,0,0.961126,0.963077,0.003649,27.070778,27.272678,0.221493,155.09965,151.186951,5.958148,1.234692,1.479892,0.309279,0.050753,0.087974,0.045748,777.343197,780.08313,7.122234,161.625021,157.401016,6.506222,9.001004,9.015501,0.06288,777.080915,778.71405,5.219962,28.20957,28.389639,0.233303,810.040773,812.019409,6.620957,22.371477,21.170847,3.352563,21.013316,19.542965,3.656444,21.24188,20.222832,2.807402,0.476236,0.47556,0.129427,8.63762,8.660701,0.046285,23.550742,21.389734,3.829373,23.779306,22.069599,2.961948,3.485161,3.484823,0.000669,5.240596,5.252162,0.010844,89.267258,89.267258,0,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.246826,563.248291,0.005122,0.002314,0.002099,0.000334,313.297592,NaN,NaN,1.345363,1.346871,0.000948
6,TESTANMA_4173.LAB,6/3/2020,05:44.2,752.203607,748.000366,5.780098,27.351598,27.297241,0.222217,26.539608,29.331512,2.138572,0.504045,0.491313,0.126539,0.042861,0.088287,0.045351,-1.370952,1.169533,2.740632,2.690827,0.01349,5.487451,4.014476,4.022357,0.0479,1.851106,1.767287,0.496497,8.283411,8.176946,0.166746,8.593795,8.660276,0.047033,154.448178,153.835236,2.119112,0.015071,0.015041,0.000231,1.080726,0.617622,1.115609,14.771823,12.057112,1.61851,1.560422,2.038057,0.712836,1.289295,1.397033,0.289211,3.838987,-0.249188,3.021683,-0.49353,-0.174365,0.271346,0.769918,0.146602,0.50304,2.807772,4.339135,1.712831,-2.467878,-2.585791,1.894325,0.022755,0.023985,0.011641,-0.340357,-0.186008,0.475942,0.005621,-0.036459,0.169697,0.439584,0.399003,0.818798,190.740738,190.740738,0,0.96163,0.961499,0.000594,27.351598,27.297241,0.222217,154.448178,153.835236,2.119112,1.289295,1.397033,0.289211,0.042861,0.088287,0.045351,782.362977,779.63678,6.832879,160.90794,160.286896,2.273725,8.953225,9.023276,0.047852,783.66466,779.348022,5.663938,28.495506,28.441315,0.219272,815.085335,812.31073,6.740451,28.265799,23.449486,3.565851,26.847575,21.912748,3.811348,27.834635,22.261478,3.937684,0.504045,0.491313,0.126539,8.593795,8.660276,0.047033,28.374128,23.695377,3.879817,29.361188,24.044106,3.940344,3.484886,3.485035,0.000378,5.226439,5.248096,0.015971,89.267258,89.267258,0,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.243537,563.24884,0.004148,0.002291,0.002108,0.000339,244.445376,NaN,NaN,1.343768,1.346324,0.001703
7,TESTANMA_4174.LAB,6/3/2020,05:44.4,738.235004,744.613403,5.482677,27.612113,27.307571,0.238143,31.532345,29.331842,2.138996,0.536971,0.514704,0.120742,0.493258,0.169661,0.186491,3.065124,2.176316,2.163354,-0.075588,0.507703,5.307561,3.996039,4.030364,0.035871,2.047395,1.913706,0.433881,8.106067,8.125053,0.129629,8.525548,8.621575,0.063357,152.87471,154.139297,1.751305,0.014311,0.014822,0.000306,-0.212061,0.723401,0.970184,13.128136,12.264228,1.688909,2.223997,1.912783,0.576368,1.566288,1.370598,0.25926,-0.550753,-0.261065,3.02299,0.098084,-0.070554,0.252014,2.682401,0.736705,1.175732,2.898053,3.498642,0.814633,-1.558611,-1.729515,0.536911,0.004396,0.016038,0.007142,0.119066,-0.00754,0.351786,-0.080705,-0.039221,0.170427,0.767482,0.682139,0.574464,190.740738,190.740738,0,0.964018,0.961805,0.001256,27.612113,27.307571,0.238143,152.87471,154.139297,1.751305,1.566288,1.370598,0.25926,0.493258,0.169661,0.186491,768.74517,775.419617,5.304157,159.238215,160.613312,1.874846,8.880411,8.98367,0.068342,768.963275,775.883911,5.65801,28.761283,28.45429,0.239163,800.743025,807.983887,5.490865,29.701051,25.387329,3.851933,27.978134,23.879673,3.916099,27.781966,24.020779,4.070908,0.536971,0.514704,0.120742,8.525548,8.621575,0.063357,29.18152,25.751724,3.397393,28.985352,25.892832,3.567972,3.48489,3.485121,0.000236,5.279449,5.254736,0.021092,89.267258,89.267258,0,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.259766,563.251282,0.006295,0.002183,0.00224,0.000098,321.70517,338.620575,69.355827,1.346486,1.346139,0.001602
8,TESTANMA_4175.LAB,6/3/2020,05:44.6,742.385364,743.797974,5.441974,26.554355,27.130732,0.39391,27.092491,28.644787,2.209384,0.717664,0.586036,0.112297,0.070147,0.162344,0.190257,2.173962,2.274343,2.146498,2.381775,2.613963,2.183102,4.044834,4.036264,0.0352,1.434412,1.957108,0.349454,8.145944,8.122297,0.128852,8.579095,8.602274,0.057184,154.765451,154.70433,1.2478,0.014379,0.014726,0.000362,-0.27691,0.701831,0.995846,12.109186,12.513998,1.512518,1.836482,1.724557,0.319976,1.259644,1.282184,0.18197,0.756454,0.824163,1.751045,-0.760735,-0.235703,0.379357,1.552328,1.119282,1.031844,1.955651,3.282315,1.071038,-3.497203,-2.232838,0.782664,0.008357,0.013635,0.007338,0.631341,0.011375,0.388949,0.145207,-0.048289,0.155716,0.195179,0.60643,0.615782,190.740738,190.740738,0,0.964018,0.962383,0.001506,26.554355,27.130732,0.39391,154.765451,154.70433,1.2478,1.259644,1.282184,0.18197,0.070147,0.162344,0.190257,770.895371,774.21106,5.55419,161.289338,161.211884,1.356267,8.940729,8.964108,0.062458,773.679241,775.081848,5.62217,27.673713,28.271753,0.404363,803.391015,806.774048,5.750031,22.637248,25.796047,3.28245,21.25164,24.385647,3.176708,22.77311,24.857052,2.952743,0.717664,0.586036,0.112297,8.579095,8.602274,0.057184,22.983781,26.135859,2.788806,24.505251,26.607264,2.534563,3.484899,3.485055,0.000244,5.263655,5.255216,0.021304,89.267258,89.267258,0,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.254934,563.251709,0.006509,0.002042,0.002229,0.000118,327.723441,321.125,54.691418,1.344875,1.345605,0.001454
9,TESTANMA_4176.LAB,6/3/2020,05:44.8,753.259839,746.359497,6.402864,26.645273,27.046825,0.45188,31.063376,29.336109,2.340298,0.582884,0.56356,0.094863,0.324804,0.196365,0.203309,1.859999,1.842969,1.912766,2.659462,1.945546,1.157173,4.025269,4.023501,0.01919,2.550318,2.053824,0.442035,8.399721,8.217188,0.121999,8.744957,8.616202,0.082362,155.916857,154.620972,1.118997,0.014649,0.014647,0.000315,1.398575,0.556807,0.762468,10.947967,12.544317,1.470412,1.788655,1.802409,0.263445,0.634248,1.196833,0.34166,3.757005,1.597815,2.061462,-0.327539,-0.3196,0.332239,0.379222,1.081195,1.060325,3.06618,3.057273,0.942812,-4.488268,-2.771634,1.213815,0.039371,0.01854,0.013747,0.160791,0.096052,0.359354,0.165228,0.041401,0.108586,-1.221719,0.043732,0.759086,190.740738,190.740738,0,0.964018,0.962962,0.001457,26.645273,27.046825,0.45188,155.916857,154.620972,1.118997,0.634248,1.196833,0.34166,0.324804,0.196365,0.203309,782.971291,776.463562,6.490488,162.45587,161.103287,1.188795,9.111738,8.977422,0.086516,784.851918,777.648071,6.700638,27.762753,28.180567,0.466028,815.809537,809.013977,6.784563,23.116868,25.218487,3.484413,22.419195,23.901972,3.273335,23.074273,24.541172,3.062385,0.582884,0.56356,0.094863,8.744957,8.616202,0.082362,25.532495,25.924534,2.785905,26.187573,26.563732,2.540761,3.484923,3.484952,0.000118,5.216796,5.245387,0.025949,89.267258,89.267258,0,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.240601,563.249146,0.008005,0.001623,0.002091,0.000283,345.578674,310.550049,38.806393,1.340096,1.344118,0.002451
10,TESTANMA_4177.LAB,6/3/2020,05:45.0,746.027065,746.42218,6.396493,27.492952,27.13126,0.494872,32.825352,29.810635,2.815585,0.291522,0.526617,0.154557,0.422338,0.270682,0.204686,-0.785503,0.988526,1.948801,4.118994,2.355094,1.518686,4.015983,4.01932,0.017769,1.911004,1.958847,0.402059,8.114429,8.209914,0.127889,8.553461,8.599371,0.085433,155.039272,154.608887,1.112848,0.014547,0.014591,0.0003,0.997749,0.597616,0.783487,9.522601,12.095942,2.01034,2.120981,1.906107,0.267098,1.208198,1.191535,0.341131,5.021617,2.564662,2.348278,-0.25252,-0.347248,0.316248,0.535337,1.183841,0.951416,3.804333,2.906398,0.660593,-3.963521,-3.195096,1.179085,0.029792,0.020934,0.014606,0.076906,0.129549,0.345132,-0.174763,0.012118,0.145549,0.596305,0.155366,0.798098,190.740738,190.740738,0,0.964018,0.96354,0.001068,27.492952,27.13126,0.494872,155.039272,154.608887,1.112848,1.208198,1.191535,0.341131,0.422338,0.270682,0.204686,777.32435,776.459778,6.489854,161.525777,161.08342,1.178692,8.911321,8.959485,0.089644,777.239673,777.67981,6.697654,28.643334,28.267315,0.510982,809.846687,808.975098,6.777771,21.837747,25.111742,3.599705,20.508729,23.801054,3.390344,21.01377,24.49555,3.124886,0.291522,0.526617,0.154557,8.553461,8.599371,0.085433,22.469502,25.708286,3.046048,22.974543,26.402782,2.77586,3.485069,3.484933,0.000077,5.249771,5.247222,0.02585,89.267258,89.267258,0,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.251842,563.250183,0.007958,0.001942,0.002016,0.000257,317.939793,311.478485,38.943848,1.344068,1.343859,0.002353
11,TESTANMA_4178.LAB,6/3/2020,05:45.2,737.118576,743.405151,6.543705,27.303775,27.121695,0.489987,28.41454,30.185619,2.358839,0.38423,0.502654,0.167664,0.576234,0.377356,0.195031,-2.07116,0.848484,2.173004,0.708549,1.958638,1.661184,4.03063,4.022551,0.018133,1.391671,1.86696,0.47814,8.01979,8.15719,0.143413,8.515298,8.583672,0.093541,152.512944,154.221848,1.46389,0.014936,0.014564,0.000247,0.604095,0.50229,0.737669,11.656402,11.472858,1.346993,2.202024,2.034428,0.206823,1.462013,1.226078,0.361634,-1.228706,1.551123,2.724293,-0.886071,-0.425756,0.399427,0.293624,1.088583,1.024274,3.64516,3.073875,0.731665,0.741444,-2.553232,2.148751,0.018784,0.02014,0.014591,1.595625,0.516746,0.643316,-0.193408,-0.027688,0.172492,2.069581,0.481366,1.183205,190.740738,190.740738,0,0.964018,0.964018,0,27.303775,27.121695,0.489987,152.512944,154.221848,1.46389,1.462013,1.226078,0.361634,0.576234,0.377356,0.195031,768.067511,773.600708,6.387194,158.918358,160.685516,1.534786,8.872934,8.943426,0.097861,768.076927,774.562256,6.841678,28.450497,28.258316,0.506332,800.325652,806.023193,6.664493,22.182428,23.895069,3.281114,20.574214,22.546383,3.13201,22.346356,23.397894,2.574148,0.38423,0.502654,0.167664,8.515298,8.583672,0.093541,23.56147,24.745754,2.737854,25.333612,25.597265,2.234294,3.485483,3.485053,0.000251,5.26174,5.254282,0.023465,89.267258,89.267258,0,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.257723,563.252991,0.007537,0.002738,0.002106,0.000409,311.56257,324.901917,12.962621,1.346364,1.344378,0.002601
12,TESTANMA_4179.LAB,6/3/2020,05:45.4,741.676319,744.093445,6.024323,26.940156,26.987301,0.406966,28.489305,29.577011,2.316694,0.488728,0.493005,0.16658,0.211936,0.321092,0.19381,-0.801318,0.075196,1.851099,-5.117812,0.950194,3.601784,4.015647,4.026473,0.012073,1.901132,1.837708,0.468723,8.378119,8.211601,0.168569,8.474224,8.573407,0.103771,154.109985,154.468903,1.271264,0.015355,0.014773,0.000383,0.090603,0.562822,0.674071,12.675402,11.382312,1.216833,2.260217,2.041672,0.215572,1.217775,1.156376,0.309496,1.295497,1.920373,2.48258,-0.558754,-0.557124,0.271643,0.016785,0.555459,0.588205,2.708786,3.036022,0.747754,-6.308482,-3.503206,2.601389,0.026188,0.024498,0.011675,-0.328555,0.427222,0.73684,-0.029267,-0.0174,0.170057,-0.524608,0.222948,1.244601,190.740738,190.740738,0,0.969942,0.965202,0.002649,26.940156,26.987301,0.406966,154.109985,154.468903,1.271264,1.217775,1.156376,0.309496,0.211936,0.321092,0.19381,771.325261,774.116699,5.988634,160.557339,160.949341,1.3225,8.82876,8.933096,0.108341,772.705266,775.310669,6.255672,28.067231,28.119507,0.422104,803.594607,806.593445,6.205919,21.926753,22.340208,0.533794,20.5872,21.068197,0.813515,21.704708,22.182444,0.831436,0.488728,0.493005,0.16658,8.474224,8.573407,0.103771,22.36341,23.382132,1.292826,23.480917,24.49638,1.314184,3.485665,3.485208,0.000347,5.247286,5.247849,0.018782,89.267258,89.267258,0,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.254028,563.251831,0.006627,0.003064,0.002282,0.000597,326.179626,325.796814,12.840631,1.345207,1.344122,0.002397
13,TESTANMA_4180.LAB,6/3/2020,05:45.6,745.860029,744.788391,5.978266,26.957297,27.06789,0.332968,26.807307,29.519978,2.39533,0.383312,0.426135,0.112025,0.255519,0.358166,0.14552,-2.341515,-0.827899,1.663132,-3.450218,-0.216205,3.949784,3.968439,4.011194,0.024732,2.025292,1.955884,0.41277,8.342171,8.250846,0.172264,8.666412,8.590871,0.111989,155.151708,154.546143,1.305075,0.014696,0.014837,0.000323,0.365502,0.691305,0.516898,13.346375,11.629749,1.495477,1.641371,2.00265,0.272217,1.201958,1.144839,0.305736,6.874904,3.144063,3.176412,-0.6813,-0.541237,0.258776,0.60666,0.366326,0.231277,2.695837,3.184059,0.51853,-6.699628,-4.143691,2.967948,0.029974,0.028822,0.007437,-0.679326,0.165088,0.867604,0.165631,-0.013316,0.175109,-0.674511,0.04901,1.308578,190.740738,190.740738,0,0.971408,0.966681,0.003683,26.957297,27.06789,0.332968,155.151708,154.546143,1.305075,1.201958,1.144839,0.305736,0.255519,0.358166,0.14552,775.513163,775.040344,5.717579,161.563122,161.004089,1.345564,9.024502,8.949851,0.116022,776.68161,775.911072,6.203814,28.071295,28.19902,0.34809,807.560152,807.427368,5.942555,23.593431,22.531445,0.7809,22.271277,21.272123,0.981459,23.633878,22.354599,1.045793,0.383312,0.426135,0.112025,8.666412,8.590871,0.111989,23.759172,23.53721,1.279534,25.121773,24.619684,1.343814,3.486485,3.485525,0.000615,5.2472,5.244559,0.01664,89.267258,89.267258,0,6.351131,6.351131,0,-3.874725,-3.874725,0,0,0,0,563.252669,563.251404,0.006437,0.001893,0.002252,0.000615,316.877396,323.627625,13.340201,1.347875,1.344722,0.002945
