Spectrum,Date,Time,"NO (350,3000) 191C","NO (350,3000) 191C average","NO (350,3000) 191C stdev",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"N2O (100,200,300) 191C (1of2)","N2O (100,200,300) 191C (1of2) average","N2O (100,200,300) 191C (1of2) stdev",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"Formaldehyde (70,500) 191C","Formaldehyde (70,500) 191C average","Formaldehyde (70,500) 191C stdev",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"Propylene (200,1000) 191C","Propylene (200,1000) 191C average","Propylene (200,1000) 191C stdev",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"Ethylene (100,3000) 191C","Ethylene (100,3000) 191C average","Ethylene (100,3000) 191C stdev",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
TESTANMA_3439.LAB,6/3/2020,55:47.0,694.154299,648.483093,25.530973,31.631082,32.373005,0.414746,40.976606,39.67503,0.727602,0.569476,0.743246,0.097141,0.340671,0.309307,0.017533,-4.239876,-0.802691,1.921444,-4.194597,-2.933507,0.70497,3.152037,3.751332,0.335016,1.882853,1.316225,0.316754,7.344175,7.168666,0.098112,8.037412,7.572995,0.259618,139.661376,158.84465,10.723778,0.014879,0.015847,0.000541,-0.815353,-0.530833,0.159051,16.26498,17.004826,0.413586,-1.962247,0.831371,1.56168,1.892274,2.379951,0.27262,6.004534,7.515214,0.844496,-1.163504,-0.487313,0.378002,-0.070721,0.029854,0.056223,3.812132,5.092292,0.715631,4.29001,0.486482,2.126236,0.005916,0.006817,0.000504,1.18429,0.270003,0.511102,0.461194,0.263608,0.110454,1.257282,2.11528,0.479635,190.435486,190.435486,0,0.973015,0.973015,0,31.631082,32.373005,0.414746,139.661376,158.84465,10.723778,1.892274,2.379951,0.27262,0.340671,0.309307,0.017533,729.597513,685.948425,24.4006,144.206829,165.068176,11.661843,8.299,7.867484,0.241225,716.74641,673.690979,24.06871,32.660555,33.636269,0.545442,753.343168,712.620117,22.764847,15.490461,24.738214,5.169651,13.408959,22.120268,4.86977,15.735967,23.094894,4.113765,0.569476,0.743246,0.097141,8.037412,7.572994,0.259618,16.647057,23.961674,4.088995,18.974065,24.9363,3.332991,3.49873,3.506895,0.004565,5.282026,5.265419,0.009284,90.226265,89.986511,0.134026,6.309587,6.270812,0.021676,-3.848352,-3.860659,0.00688,0,0,0,563.2724,563.28479,0.006906,0.002985,0.001605,0.000771,NaN,NaN,NaN,1.350873,1.345745,0.002867
TESTANMA_3439.LAB,6/3/2020,55:47.2,683.682681,657.806519,28.641447,31.39969,32.141243,0.577155,38.915333,39.588169,0.798617,0.446159,0.67514,0.158845,0.224486,0.293911,0.04236,-4.44308,-1.702628,2.41,-0.898355,-2.589531,1.16606,3.51,3.6731,0.336948,1.809633,1.443238,0.368801,7.453529,7.234414,0.155009,7.925699,7.666757,0.290073,148.295635,155.775681,11.193599,0.014823,0.015594,0.000678,-0.525988,-0.54409,0.154333,16.525887,16.872044,0.444756,-0.120521,0.501312,1.551532,2.135117,2.306601,0.280831,4.492501,6.835138,1.543886,-1.080805,-0.639821,0.441278,0.572417,0.133338,0.251417,2.057845,4.421394,1.491931,0.58175,0.695712,2.059705,0.00712,0.006833,0.000514,0.721247,0.405966,0.525321,0.32505,0.285775,0.109177,0.506009,1.750526,0.836468,190.481856,190.444763,0.020738,0.975064,0.973425,0.000917,31.39969,32.141243,0.577155,148.295635,155.775681,11.193599,2.135117,2.306601,0.280831,0.224486,0.293911,0.04236,717.140216,694.369263,26.836805,153.732372,161.75795,12.150175,8.213633,7.958289,0.27373,708.516417,682.808838,27.379213,32.541383,33.368507,0.70193,743.182475,720.768738,25.354303,22.14271,23.756725,5.086161,19.794082,21.219465,4.781987,21.955692,22.499109,3.994703,0.446159,0.67514,0.158845,7.925699,7.666756,0.290073,22.330094,23.269627,3.993837,24.491704,24.549267,3.227315,3.498854,3.504879,0.005556,5.277952,5.268756,0.010355,90.226265,90.046448,0.164147,6.309587,6.280505,0.026548,-3.848352,-3.857583,0.008426,0,0,0,563.271426,563.281494,0.008732,0.002422,0.001837,0.000815,NaN,NaN,NaN,1.349309,1.346714,0.003132
TESTANMA_3439.LAB,6/3/2020,55:47.4,673.167467,665.026978,26.582014,31.167335,31.863012,0.655703,36.845478,39.087334,1.480072,0.322328,0.582268,0.206054,0.107818,0.255181,0.092535,-4.64713,-2.643375,2.468935,2.411611,-1.583562,2.519401,3.869453,3.66676,0.331844,1.736108,1.555546,0.351632,7.563338,7.322124,0.196099,7.813521,7.738083,0.26862,156.965842,154.440765,10.390357,0.014766,0.015329,0.000695,-0.235418,-0.499233,0.208189,16.78788,16.791664,0.407753,1.728872,0.541131,1.586683,2.37897,2.282021,0.264363,2.974174,5.851396,2.14964,-0.997762,-0.77572,0.421689,1.218232,0.365985,0.536907,0.296254,3.398179,2.219426,-3.141948,0.160203,2.688748,0.008329,0.00709,0.000854,0.256275,0.448935,0.496019,0.188338,0.280601,0.113927,-0.248391,1.234892,1.132415,190.52842,190.463348,0.041554,0.977123,0.974246,0.001837,31.167335,31.863012,0.655703,156.965842,154.440765,10.390357,2.37897,2.282021,0.264363,0.107818,0.255181,0.092535,704.631056,700.288208,24.684107,163.297573,160.360764,11.296367,8.127911,8.03195,0.25587,700.252159,690.273804,25.636108,32.421715,33.076813,0.738236,732.97948,726.87677,23.4412,28.822655,24.111225,5.42367,26.205788,21.601004,5.150903,28.201312,23.152445,4.697865,0.322328,0.582268,0.206054,7.813521,7.738082,0.268621,28.036791,23.718918,4.448751,30.032315,25.270361,4.049717,3.49898,3.502887,0.005523,5.273861,5.271275,0.009581,90.226265,90.106384,0.164147,6.309587,6.290198,0.026548,-3.848352,-3.854506,0.008426,0,0,0,563.270449,563.278015,0.009019,0.001858,0.001957,0.000751,NaN,NaN,NaN,1.347738,1.347369,0.002875
TESTANMA_3440.LAB,6/3/2020,55:47.6,677.084274,673.030823,21.619614,31.563351,31.66399,0.531001,33.168414,37.851093,3.003572,0.352933,0.495517,0.189084,0.21309,0.237506,0.089887,2.449359,-2.164824,3.235876,-0.057716,-1.071458,2.51674,3.968402,3.68021,0.344827,2.665322,1.853697,0.53305,7.651984,7.427564,0.205,7.803521,7.807409,0.217836,160.792452,153.87114,9.822489,0.015569,0.015225,0.000583,0.559852,-0.295322,0.520954,14.864246,16.326555,0.885983,1.578394,0.550855,1.594386,1.746573,2.130961,0.317736,4.830353,5.238889,1.835949,-0.570871,-0.826241,0.364425,1.454883,0.645962,0.680097,1.741602,2.664033,1.980909,-2.669099,-0.280737,2.981616,0.023074,0.010296,0.007194,0.076353,0.455919,0.489043,0.239821,0.285723,0.110726,0.224223,0.81378,1.008149,190.537247,190.483704,0.048786,0.977513,0.975146,0.002157,31.563351,31.66399,0.531001,160.792452,153.87114,9.822489,1.746573,2.130961,0.317736,0.21309,0.237506,0.089887,710.389227,707.358826,20.32004,167.437431,159.791534,10.728814,8.125996,8.105228,0.205974,705.065159,698.701477,20.884552,32.867754,32.874321,0.585925,739.746807,734.338257,19.287577,28.932466,24.487688,5.735051,27.011235,22.143633,5.626973,28.152977,23.796116,5.197051,0.352933,0.495517,0.189084,7.803521,7.807409,0.217836,29.652596,24.491373,5.174454,30.794338,26.143856,4.768719,3.499111,3.500922,0.004482,5.289244,5.27687,0.010409,90.226265,90.166321,0.134026,6.309587,6.299892,0.021676,-3.848352,-3.851429,0.00688,0,0,0,563.275651,563.275574,0.007143,0.002092,0.002123,0.000642,308.705586,NaN,NaN,1.349365,1.34835,0.002439
TESTANMA_3441.LAB,6/3/2020,55:47.8,676.090424,680.835815,8.379772,31.712068,31.494705,0.216077,32.46364,36.473892,3.653129,0.459638,0.430107,0.097629,0.253558,0.227925,0.083705,3.714455,-1.433254,4.148457,-0.324589,-0.612729,2.369022,3.959822,3.691943,0.355071,2.662178,2.151219,0.470744,7.606421,7.523889,0.124523,7.816386,7.879308,0.101464,160.919783,153.327026,9.201743,0.01584,0.015175,0.000494,1.148301,0.026279,0.810164,14.483319,15.785263,1.040099,1.571128,0.559125,1.600828,1.666036,1.963794,0.292695,3.113868,4.283086,1.263632,-0.400718,-0.842732,0.336486,1.228892,0.880741,0.625518,2.813529,2.144273,1.305225,-2.233483,-0.634554,3.111017,0.025471,0.013982,0.009471,0.272542,0.502141,0.449387,0.180439,0.278969,0.11703,0.469941,0.441813,0.546267,190.537247,190.504059,0.044699,0.977513,0.976045,0.001976,31.712068,31.494705,0.216077,160.919783,153.327026,9.201743,1.666036,1.963794,0.292695,0.253558,0.227925,0.083705,710.616021,714.474792,9.5431,167.555353,159.245911,10.113564,8.138659,8.18104,0.075209,703.96904,706.90979,6.23929,33.019648,32.702209,0.2421,739.918152,741.834045,7.428119,29.790827,25.035824,6.156663,27.958187,22.87565,6.187475,28.759624,24.561115,5.666821,0.459638,0.430107,0.097629,7.816386,7.879308,0.101464,30.911147,25.515537,5.945199,31.712584,27.201,5.392253,3.499005,3.498936,0.000147,5.285986,5.281814,0.006141,90.226265,90.226265,0,6.309587,6.309587,0,-3.848352,-3.848352,0,0,0,0,563.280605,563.274048,0.004115,0.001977,0.002267,0.000453,328.990023,NaN,NaN,1.349719,1.349401,0.001123
TESTANMA_3441.LAB,6/3/2020,55:48.0,668.629953,675.730957,5.526898,31.553093,31.479107,0.206368,34.371825,35.152939,2.683332,0.597542,0.43572,0.107911,0.202942,0.200379,0.055102,-0.903891,-0.766057,3.841098,2.182257,0.662642,1.524662,3.914876,3.844511,0.191126,1.748383,2.124325,0.493214,7.459982,7.54705,0.088216,7.828443,7.837514,0.050091,159.044301,157.203598,5.231786,0.015538,0.015307,0.000483,1.483221,0.485994,0.863584,15.70528,15.673322,1.005092,2.04067,1.359708,0.849057,2.176118,2.020563,0.302711,-2.006691,2.680841,2.745407,-0.493691,-0.708769,0.30907,0.716541,1.038193,0.375106,3.008658,1.983578,1.078278,-2.592937,-2.011143,1.485147,0.015758,0.01595,0.008329,0.710217,0.407327,0.291897,0.000186,0.186767,0.119155,0.314616,0.253279,0.302942,190.537247,190.524399,0.024089,0.977513,0.976945,0.001065,31.553093,31.479107,0.206368,159.044301,157.203598,5.231786,2.176118,2.020563,0.302711,0.202942,0.200379,0.055102,703.191704,709.193604,5.555196,165.524848,163.509521,5.73359,8.147402,8.150721,0.036215,695.874387,702.735474,4.837614,32.838729,32.737846,0.247489,731.844311,737.534241,4.888827,32.432626,28.424255,3.801623,30.038896,26.201639,3.857533,31.026278,27.619177,3.376679,0.597542,0.43572,0.107911,7.828443,7.837514,0.050091,32.637616,28.713648,3.947026,33.624997,30.131189,3.426399,3.498714,3.498933,0.000153,5.264626,5.278334,0.009819,90.226265,90.226265,0,6.309587,6.309587,0,-3.848352,-3.848352,0,0,0,0,563.284239,563.276489,0.00591,0.001445,0.001959,0.000356,317.184504,NaN,NaN,1.348495,1.348925,0.000801
TESTANMA_3442.LAB,6/3/2020,55:48.2,666.24457,672.243347,4.693906,31.502263,31.499622,0.201541,34.981941,34.366261,1.7015,0.641635,0.474815,0.142503,0.186758,0.192833,0.053536,-2.380544,-0.35355,3.436982,2.983787,1.43907,1.519471,3.900505,3.922612,0.0414,1.45621,2.05364,0.569079,7.41316,7.538977,0.099978,7.832298,7.818834,0.011644,158.444641,159.233414,1.663902,0.015442,0.015431,0.0004,1.590306,0.909252,0.755442,16.095985,15.587341,0.929469,2.190799,1.821973,0.280528,2.339209,2.061381,0.334147,-3.64392,1.053557,3.6616,-0.523417,-0.597292,0.232329,0.552724,1.034255,0.381272,3.071047,2.186218,1.18559,-2.707868,-2.669067,0.324288,0.012653,0.017057,0.007146,0.850158,0.433109,0.32979,-0.057448,0.110267,0.130432,0.264952,0.205068,0.270063,190.537247,190.535477,0.003944,0.977513,0.977435,0.000174,31.502263,31.499622,0.201541,158.444641,159.233414,1.663902,2.339209,2.061381,0.334147,0.186758,0.192833,0.053536,700.81788,705.929138,4.39212,164.875622,165.738159,1.798306,8.150197,8.138033,0.010994,693.286233,699.689331,5.076558,32.780883,32.785744,0.221803,729.262811,734.750305,4.831279,33.277305,30.651175,2.068077,30.704175,28.383657,1.932116,31.751009,29.578241,1.689317,0.641635,0.474815,0.142503,7.832298,7.818834,0.011644,33.189631,30.885555,2.122192,34.236465,32.080139,1.804044,3.498621,3.498886,0.000208,5.257796,5.274302,0.013473,90.226265,90.226265,0,6.309587,6.309587,0,-3.848352,-3.848352,0,0,0,0,563.2854,563.279236,0.006226,0.001275,0.001729,0.000352,313.409851,NaN,NaN,1.348104,1.348684,0.000837
TESTANMA_3442.LAB,6/3/2020,55:48.4,666.24457,670.858765,5.330971,31.502263,31.566608,0.086071,34.981941,33.993553,1.131193,0.641635,0.538677,0.127881,0.186758,0.208622,0.027512,-2.380544,0.099767,2.823905,2.983787,1.553505,1.628651,3.900505,3.928822,0.032885,1.45621,1.997661,0.619644,7.41316,7.508942,0.112593,7.832298,7.822589,0.012499,158.444641,159.52916,1.236648,0.015442,0.015566,0.000163,1.590306,1.274397,0.438657,16.095985,15.448962,0.73779,2.190799,1.914358,0.316019,2.339209,2.053429,0.325049,-3.64392,-0.270062,3.976397,-0.523417,-0.502423,0.063219,0.552724,0.901153,0.415607,3.071047,2.741177,0.568674,-2.707868,-2.582251,0.200534,0.012653,0.017922,0.005995,0.850158,0.551885,0.356078,-0.057448,0.06111,0.139643,0.264952,0.307737,0.096168,190.537247,190.537247,0,0.977513,0.977513,0,31.502263,31.566608,0.086071,158.444641,159.52916,1.236648,2.339209,2.053429,0.325049,0.186758,0.208622,0.027512,700.81788,705.166565,4.967271,164.875622,166.053772,1.343976,8.150197,8.142489,0.010364,693.286233,698.296204,5.789316,32.780883,32.857582,0.098094,729.262811,734.006958,5.421696,33.277305,31.542105,2.042796,30.704175,29.283335,1.697564,31.751009,30.288181,1.711732,0.641635,0.538677,0.127881,7.832298,7.822589,0.012499,33.189631,31.916126,1.573033,34.236465,32.920967,1.576346,3.498621,3.498814,0.000229,5.257796,5.27109,0.015384,90.226265,90.226265,0,6.309587,6.309587,0,-3.848352,-3.848352,0,0,0,0,563.2854,563.282227,0.004194,0.001275,0.001613,0.000393,313.409851,316.339996,7.684268,1.348104,1.348757,0.000744
TESTANMA_3442.LAB,6/3/2020,55:48.6,666.24457,668.690857,4.26353,31.502263,31.554388,0.090852,34.981941,34.356255,1.09049,0.641635,0.596417,0.07881,0.186758,0.203355,0.028926,-2.380544,-0.866213,2.639296,2.983787,2.161806,1.432614,3.900505,3.915242,0.025686,1.45621,1.755838,0.522216,7.41316,7.461177,0.083687,7.832298,7.828345,0.00689,158.444641,159.059601,1.071803,0.015442,0.015541,0.000172,1.590306,1.480488,0.1914,16.095985,15.695311,0.698327,2.190799,2.036839,0.268334,2.339209,2.171957,0.291502,-3.64392,-1.964917,2.926301,-0.523417,-0.492932,0.053132,0.552724,0.720721,0.292799,3.071047,3.007066,0.111512,-2.707868,-2.590005,0.205421,0.012653,0.015837,0.00555,0.850158,0.706646,0.250123,-0.057448,0.001656,0.103011,0.264952,0.315883,0.088765,190.537247,190.537247,0,0.977513,0.977513,0,31.502263,31.554388,0.090852,158.444641,159.059601,1.071803,2.339209,2.171957,0.291502,0.186758,0.203355,0.028926,700.81788,703.252258,4.242861,164.875622,165.541412,1.160396,8.150197,8.147329,0.004996,693.286233,695.94043,4.625936,32.780883,32.840206,0.103392,729.262811,731.910156,4.614042,33.277305,32.411072,1.509738,30.704175,30.021923,1.189085,31.751009,31.007786,1.295349,0.641635,0.596417,0.07881,7.832298,7.828345,0.00689,33.189631,32.623531,0.986644,34.236465,33.609398,1.092908,3.498621,3.498716,0.000167,5.257796,5.2648,0.012207,90.226265,90.226265,0,6.309587,6.309587,0,-3.848352,-3.848352,0,0,0,0,563.2854,563.284241,0.002088,0.001275,0.00145,0.000304,313.409851,317.280823,6.746626,1.348104,1.348505,0.000699
TESTANMA_3442.LAB,6/3/2020,55:48.8,666.24457,666.72168,1.066773,31.502263,31.512426,0.022732,34.981941,34.859917,0.272852,0.641635,0.632817,0.019719,0.186758,0.189995,0.007238,-2.380544,-2.085213,0.660379,2.983787,2.823481,0.358455,3.900505,3.903379,0.006427,1.45621,1.514645,0.130664,7.41316,7.422525,0.020939,7.832298,7.831527,0.001724,158.444641,158.564575,0.268174,0.015442,0.015461,0.000043,1.590306,1.568889,0.04789,16.095985,16.017843,0.174729,2.190799,2.160774,0.06714,2.339209,2.306591,0.072937,-3.64392,-3.316474,0.732191,-0.523417,-0.517472,0.013294,0.552724,0.585488,0.073261,3.071047,3.058569,0.027901,-2.707868,-2.684882,0.051399,0.012653,0.013274,0.001389,0.850158,0.822169,0.062583,-0.057448,-0.045921,0.025775,0.264952,0.274885,0.02221,190.537247,190.537247,0,0.977513,0.977513,0,31.502263,31.512426,0.022732,158.444641,158.564575,0.268174,2.339209,2.306591,0.072937,0.186758,0.189995,0.007238,700.81788,701.292603,1.061614,164.875622,165.005463,0.290338,8.150197,8.149637,0.00125,693.286233,693.803833,1.157449,32.780883,32.792454,0.02587,729.262811,729.779114,1.154474,33.277305,33.108368,0.377753,30.704175,30.571121,0.297521,31.751009,31.606064,0.32411,0.641635,0.632817,0.019719,7.832298,7.831527,0.001724,33.189631,33.079231,0.24687,34.236465,34.114174,0.273457,3.498621,3.498639,0.000042,5.257796,5.259162,0.003054,90.226265,90.226265,0,6.309587,6.309587,0,-3.848352,-3.848352,0,0,0,0,563.2854,563.285156,0.000519,0.001275,0.001309,0.000076,313.409851,314.164795,1.688079,1.348104,1.348182,0.000175
